epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,981.309,1.51138,2.25433,0.96545,1.2372,0.81479,0.74073,0.82944,0.48094,0.80548,0.73916,0.81897,0.43867,1.46748,2.24579,0.9323,1.24922,0.00117971,0.00117971,0.00117971
31,1012.2,1.50406,2.27052,0.95942,1.23024,0.81897,0.73239,0.82769,0.46892,0.8142,0.7268,0.81702,0.42888,1.51371,2.26692,0.97692,1.25127,0.00115143,0.00115143,0.00115143
32,1043,1.50617,2.26277,0.97242,1.23673,0.81991,0.7564,0.83507,0.48061,0.81569,0.74892,0.82444,0.43867,1.49178,2.26227,0.92601,1.2424,0.00112314,0.00112314,0.00112314
33,1073.71,1.50649,2.26212,0.97742,1.23962,0.8277,0.73875,0.82999,0.48012,0.82807,0.72613,0.81832,0.4381,1.47368,2.22399,0.96525,1.24504,0.00109486,0.00109486,0.00109486
34,1104.64,1.52192,2.2617,0.96848,1.23924,0.82907,0.7472,0.83751,0.48425,0.82828,0.74103,0.82943,0.44333,1.4657,2.23778,0.93335,1.24623,0.00106657,0.00106657,0.00106657
35,1136.88,1.49558,2.24877,0.93515,1.22718,0.82752,0.74533,0.82922,0.47811,0.82505,0.73537,0.8191,0.43908,1.48704,2.25594,0.93969,1.259,0.00103829,0.00103829,0.00103829
36,1167.82,1.49024,2.22189,0.93084,1.23074,0.83032,0.73656,0.8312,0.47614,0.83362,0.72923,0.82225,0.42968,1.512,2.28834,0.9673,1.24526,0.00101,0.00101,0.00101
37,1205.13,1.52084,2.25031,0.96887,1.23246,0.83487,0.74988,0.84065,0.47703,0.8299,0.7426,0.82966,0.43334,1.50557,2.25659,0.9269,1.24109,0.000981714,0.000981714,0.000981714
38,1237.84,1.48791,2.20496,0.93129,1.22874,0.83925,0.74508,0.83871,0.4879,0.83832,0.73901,0.82943,0.44493,1.48318,2.22368,0.90915,1.24444,0.000953429,0.000953429,0.000953429
39,1270.27,1.49058,2.22167,0.92896,1.22032,0.83203,0.74536,0.83457,0.48624,0.83101,0.7336,0.82556,0.44361,1.47461,2.22073,0.92454,1.24815,0.000925143,0.000925143,0.000925143
40,1301.73,1.47201,2.17768,0.89787,1.21348,0.82958,0.7587,0.84465,0.49149,0.82797,0.75625,0.83675,0.45271,1.46732,2.20657,0.89272,1.23929,0.000896857,0.000896857,0.000896857
41,1333.71,1.48989,2.21006,0.92704,1.2196,0.82538,0.75473,0.84352,0.4861,0.82063,0.74696,0.83196,0.44291,1.48365,2.2185,0.9163,1.24362,0.000868571,0.000868571,0.000868571
42,1364.51,1.47174,2.17786,0.90865,1.21941,0.82954,0.74964,0.84289,0.48648,0.82618,0.74231,0.83017,0.44402,1.49044,2.23956,0.90507,1.23985,0.000840286,0.000840286,0.000840286
43,1396.55,1.47588,2.18876,0.90635,1.21247,0.84722,0.74375,0.83982,0.49131,0.83952,0.73699,0.82744,0.44927,1.46438,2.21866,0.90216,1.23088,0.000812,0.000812,0.000812
44,1427.42,1.48254,2.20341,0.91775,1.21702,0.82513,0.74978,0.83573,0.48599,0.81849,0.74375,0.82313,0.44006,1.48261,2.22786,0.89158,1.2407,0.000783714,0.000783714,0.000783714
